Current Satellite Time,q_1 of Estimated Quaternion,q_2 of Estimated Quaternion,q_3 of Estimated Quaternion,q_4 of Estimated Quaternion,X axis of Estimated Body Rate,Y axis of Estimated Body Rate,Z axis of Estimated Body Rate,X axis of Estimated Position,Y axis of Estimated Position,Z axis of Estimated Position,X axis of Estimated Velocity,Y axis of Estimated Velocity,Z axis of Estimated Velocity
2022-08-03 5:30,0.418722244,-0.688507429,0.580246333,-0.118082152,-0.000364842,-1.43E-05,0.008752987,-4905.998,-4855.485,710.900269,5.364355,-5.258823,1.05959523
2022-08-03 5:31,0.417026931,-0.689543229,0.57994415,-0.119513413,0.000291919,-0.000152706,0.010103359,-4742.459,-5010.61133,742.2992,5.53726053,-5.082016,1.03348136
2022-08-03 5:31,0.415420118,-0.690532283,0.579642196,-0.120856173,-0.000490543,7.47E-05,0.008134605,-4573.822,-5160.351,772.897949,5.70422173,-4.899737,1.00625217
2022-08-03 5:32,0.413849654,-0.69148226,0.579355791,-0.122178621,0.00021326,-5.37E-05,0.009133337,-4400.2666,-5304.543,802.6635,5.86505842,-4.712181,0.9779368
2022-08-03 5:32,0.412357642,-0.692390903,0.579071105,-0.123420693,-0.000567896,0.000113363,0.007425229,-4221.981,-5443.03125,831.5636,6.019595,-4.519551,0.9485656
2022-08-03 5:33,0.410899368,-0.693269864,0.578794574,-0.124641266,-0.000321326,5.96E-05,0.008426428,-4039.15576,-5575.667,859.567139,6.16766644,-4.322052,0.9181702
2022-08-03 5:33,0.409511682,-0.694094588,0.578538248,-0.125802941,0.00041383,0.000156712,0.006978331,-3851.9873,-5702.308,886.64386,6.30911064,-4.11989832,0.8867834
2022-08-03 5:34,0.408155941,-0.694911552,0.578269411,-0.126929708,-0.000646515,-0.000186935,0.007917996,-3660.67651,-5822.817,912.7645,6.443776,-3.91330671,0.854439139
2022-08-03 5:34,0.406866069,-0.695671216,0.578027664,-0.128006177,0.000290473,0.000130567,0.006377507,-3465.42969,-5937.064,937.90094,6.571516,-3.70249987,0.8211722
2022-08-03 5:35,0.405601072,-0.696426351,0.577774569,-0.129052914,-0.000500169,-2.32E-05,0.007518106,-3266.4563,-6044.927,962.026,6.692193,-3.48770475,0.7870186
